juz,no_ayat,sent,tag,pos,sentence #
3,152,"['Dan', 'sesungguhnya', 'Allah', 'telah', 'memenuhi', 'janji-Nya', 'kepada', 'kamu', 'ketika', 'kamu', 'membunuh', 'mereka', 'dengan', 'izin-Nya', 'sampai', 'pada', 'saat', 'kamu', 'lemah', 'dan', 'berselisih', 'dalam', 'urusan', 'itu', 'dan', 'mendurhakai', 'perintah', 'Rasul', 'sesudah', 'Allah', 'memperlihatkan', 'kepadamu', 'apa', 'yang', 'kamu', 'sukai', 'Di', 'antaramu', 'ada', 'orang', 'yang', 'menghendaki', 'dunia', 'dan', 'diantara', 'kamu', 'ada', 'orang', 'yang', 'menghendaki', 'akhirat', 'Kemudian', 'Allah', 'memalingkan', 'kamu', 'dari', 'mereka', 'untuk', 'menguji', 'kamu', 'dan', 'sesunguhnya', 'Allah', 'telah', 'memaafkan', 'kamu', 'Dan', 'Allah', 'mempunyai', 'karunia', 'yang', 'dilimpahkan', 'atas', 'orang', 'orang', 'yang', 'beriman']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER']","['CC', 'RB', 'NNP', 'MD', 'VB', 'NN', 'IN', 'NN', 'SC', 'VB', 'VB', 'PRP', 'IN', 'NN', 'SC', 'IN', 'NN', 'NN', 'JJ', 'CC', 'NN', 'IN', 'NN', 'PR', 'CC', 'VB', 'NN', 'NNP', 'SC', 'NNP', 'VB', 'NN', 'WH', 'SC', 'VB', 'VB', 'IN', 'NN', 'VB', 'NN', 'SC', 'VB', 'NN', 'CC', 'NN', 'NN', 'VB', 'NN', 'SC', 'VB', 'NN', 'NNP', 'NNP', 'VB', 'NN', 'IN', 'PRP', 'SC', 'VB', 'NN', 'CC', 'NN', 'NNP', 'MD', 'VB', 'NN', 'NNP', 'NNP', 'VB', 'NN', 'SC', 'VB', 'IN', 'NN', 'NN', 'SC', 'NN']",445
6,106,"['Ikutilah', 'apa', 'yang', 'telah', 'diwahyukan', 'kepadamu', 'dari', 'Tuhanmu', 'tidak', 'ada', 'Tuhan', 'selain', 'Dia', 'dan', 'berpalinglah', 'dari', 'orang-orang', 'musyrik']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'I-PER+I-PER']","['NNP', 'WH', 'SC', 'MD', 'VB', 'NN', 'IN', 'NNP', 'NEG', 'VB', 'NN', 'IN', 'NNP', 'CC', 'VB', 'IN', 'NN', 'NN']",895
3,25,"['Bagaimanakah', 'nanti', 'apabila', 'mereka', 'Kami', 'kumpulkan', 'di', 'hari', 'kiamat', 'yang', 'tidak', 'ada', 'keraguan', 'tentang', 'adanya', 'Dan', 'disempurnakan', 'kepada', 'tiap-tiap', 'diri', 'balasan', 'apa', 'yang', 'diusahakannya', 'sedang', 'mereka', 'tidak', 'dianiaya', 'dirugikan']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['NN', 'NN', 'SC', 'PRP', 'PRP', 'VB', 'IN', 'NN', 'NN', 'SC', 'NEG', 'VB', 'NN', 'IN', 'NN', 'NNP', 'VB', 'IN', 'CD', 'NN', 'NN', 'WH', 'SC', 'RB', 'MD', 'PRP', 'NEG', 'VB', 'VB']",318
6,104,"['Sesungguhnya', 'telah', 'datang', 'dari', 'Tuhanmu', 'bukti-bukti', 'yang', 'terang', 'maka', 'barangsiapa', 'melihat', 'kebenaran', 'itu', 'maka', 'manfaatnya', 'bagi', 'dirinya', 'sendiri', 'dan', 'barangsiapa', 'buta', 'tidak', 'melihat', 'kebenaran', 'itu', 'maka', 'kemudharatannya', 'kembali', 'kepadanya', 'Dan', 'aku', 'Muhammad', 'sekali-kali', 'bukanlah', 'pemeliharamu']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'O+O', 'O+O', 'O+O']","['RB', 'MD', 'VB', 'IN', 'NNP', 'VB', 'SC', 'VB', 'SC', 'WH', 'VB', 'NN', 'PR', 'SC', 'RB', 'IN', 'NN', 'NN', 'CC', 'CD', 'CD', 'NEG', 'VB', 'NN', 'PR', 'SC', 'RB', 'VB', 'NN', 'NNP', 'NNP', 'NNP', 'VB', 'NN', 'NN']",893
2,264,"['Hai', 'orang-orang', 'yang', 'beriman', 'janganlah', 'kamu', 'menghilangkan', 'pahala', 'sedekahmu', 'dengan', 'menyebut-nyebutnya', 'dan', 'menyakiti', 'perasaan', 'si', 'penerima', 'seperti', 'orang', 'yang', 'menafkahkan', 'hartanya', 'karena', 'riya', 'kepada', 'manusia', 'dan', 'dia', 'tidak', 'beriman', 'kepada', 'Allah', 'dan', 'hari', 'kemudian', 'Maka', 'perumpamaan', 'orang', 'itu', 'seperti', 'batu', 'licin', 'yang', 'di', 'atasnya', 'ada', 'tanah', 'kemudian', 'batu', 'itu', 'ditimpa', 'hujan', 'lebat', 'lalu', 'menjadilah', 'dia', 'bersih', 'tidak', 'bertanah', 'Mereka', 'tidak', 'menguasai', 'sesuatupun', 'dari', 'apa', 'yang', 'mereka', 'usahakan', 'dan', 'Allah', 'tidak', 'memberi', 'petunjuk', 'kepada', 'orang-orang', 'yang', 'kafir']","['O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'I-PER+I-PER']","['IN', 'NN', 'SC', 'NN', 'NN', 'NN', 'VB', 'NN', 'VB', 'IN', 'NN', 'CC', 'NN', 'NN', 'NN', 'VB', 'IN', 'NN', 'SC', 'VB', 'NN', 'SC', 'VB', 'IN', 'NN', 'CC', 'PRP', 'NEG', 'NN', 'IN', 'NNP', 'CC', 'NN', 'CC', 'NNP', 'NN', 'NN', 'PR', 'IN', 'NN', 'NN', 'SC', 'IN', 'RB', 'VB', 'NN', 'CC', 'NN', 'PR', 'NN', 'NN', 'NN', 'CC', 'NN', 'PRP', 'JJ', 'NEG', 'VB', 'PRP', 'NEG', 'VB', 'SC', 'IN', 'WH', 'SC', 'PRP', 'VB', 'CC', 'NNP', 'NEG', 'VB', 'VB', 'IN', 'NN', 'SC', 'VB']",271
4,14,"['Dan', 'barangsiapa', 'yang', 'mendurhakai', 'Allah', 'dan', 'Rasul-Nya', 'dan', 'melanggar', 'ketentuan-ketentuan-Nya', 'niscaya', 'Allah', 'memasukkannya', 'ke', 'dalam', 'api', 'neraka', 'sedang', 'ia', 'kekal', 'di', 'dalamnya', 'dan', 'baginya', 'siksa', 'yang', 'menghinakan']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['CC', 'WH', 'SC', 'VB', 'NNP', 'CC', 'NNP', 'CC', 'VB', 'NN', 'NN', 'NNP', 'RB', 'IN', 'NN', 'NN', 'SC', 'MD', 'PRP', 'VB', 'IN', 'NN', 'CC', 'RB', 'VB', 'SC', 'VB']",507
6,2,"['Dialah', 'Yang', 'menciptakan', 'kamu', 'dari', 'tanah', 'sesudah', 'itu', 'ditentukannya', 'ajal', 'kematianmu', 'dan', 'ada', 'lagi', 'suatu', 'ajal', 'yang', 'ada', 'pada', 'sisi-Nya', 'yang', 'Dia', 'sendirilah', 'mengetahuinya', 'kemudian', 'kamu', 'masih', 'ragu-ragu', 'tentang', 'berbangkit', 'itu']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['NNP', 'NNP', 'VB', 'NN', 'IN', 'NN', 'SC', 'PR', 'RB', 'JJ', 'VB', 'CC', 'VB', 'RB', 'CD', 'NN', 'SC', 'VB', 'IN', 'NN', 'SC', 'PRP', 'VB', 'NN', 'CC', 'NN', 'MD', 'VB', 'IN', 'NN', 'PR']",791
2,137,"['Maka', 'jika', 'mereka', 'beriman', 'kepada', 'apa', 'yang', 'kamu', 'telah', 'beriman', 'kepadanya', 'sungguh', 'mereka', 'telah', 'mendapat', 'petunjuk', 'dan', 'jika', 'mereka', 'berpaling', 'sesungguhnya', 'mereka', 'berada', 'dalam', 'permusuhan', 'dengan', 'kamu', 'Maka', 'Allah', 'akan', 'memelihara', 'kamu', 'dari', 'mereka', 'Dan', 'Dialah', 'Yang', 'Maha', 'Mendengar', 'lagi', 'Maha', 'Mengetahui']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['SC', 'SC', 'PRP', 'NN', 'IN', 'WH', 'SC', 'VB', 'MD', 'VB', 'RB', 'JJ', 'PRP', 'MD', 'VB', 'NN', 'CC', 'SC', 'PRP', 'VB', 'RB', 'PRP', 'VB', 'IN', 'NN', 'IN', 'NN', 'NNP', 'NNP', 'MD', 'VB', 'NN', 'IN', 'PRP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'RB', 'NNP', 'NNP']",144
3,96,"['Sesungguhnya', 'rumah', 'yang', 'mula-mula', 'dibangun', 'untuk', 'tempat', 'beribadat', 'manusia', 'ialah', 'Baitullah', 'yang', 'di', 'Bakkah', 'Mekah', 'yang', 'diberkahi', 'dan', 'menjadi', 'petunjuk', 'bagi', 'semua', 'manusia']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['RB', 'NN', 'SC', 'RB', 'VB', 'IN', 'NN', 'NN', 'NN', 'VB', 'NNP', 'SC', 'IN', 'NNP', 'NNP', 'SC', 'VB', 'CC', 'VB', 'VB', 'IN', 'CD', 'NN']",389
2,121,"['Orang-orang', 'yang', 'telah', 'Kami', 'berikan', 'Al', 'Kitab', 'kepadanya', 'mereka', 'membacanya', 'dengan', 'bacaan', 'yang', 'sebenarnya', 'mereka', 'itu', 'beriman', 'kepadanya', 'Dan', 'barangsiapa', 'yang', 'ingkar', 'kepadanya', 'maka', 'mereka', 'itulah', 'orang-orang', 'yang', 'rugi']","['B-PER+B-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'I-PER+I-PER']","['NN', 'SC', 'MD', 'PRP', 'VB', 'NNP', 'NNP', 'RB', 'PRP', 'RB', 'IN', 'NN', 'SC', 'RB', 'PRP', 'PR', 'NN', 'NN', 'NNP', 'WH', 'SC', 'VB', 'NN', 'SC', 'PRP', 'VB', 'NN', 'SC', 'JJ']",128
2,65,"['Dan', 'sesungguhnya', 'telah', 'kamu', 'ketahui', 'orang-orang', 'yang', 'melanggar', 'diantaramu', 'pada', 'hari', 'Sabtu', 'lalu', 'Kami', 'berfirman', 'kepada', 'mereka', 'Jadilah', 'kamu', 'kera', 'yang', 'hina']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['CC', 'RB', 'MD', 'VB', 'VB', 'NN', 'SC', 'VB', 'NN', 'IN', 'NN', 'NNP', 'CC', 'PRP', 'NN', 'IN', 'PRP', 'NN', 'NN', 'JJ', 'SC', 'VB']",72
5,11,"['Hai', 'orang-orang', 'yang', 'beriman', 'ingatlah', 'kamu', 'akan', 'nikmat', 'Allah', 'yang', 'diberikan-Nya', 'kepadamu', 'di', 'waktu', 'suatu', 'kaum', 'bermaksud', 'hendak', 'menggerakkan', 'tangannya', 'kepadamu', 'untuk', 'berbuat', 'jahat', 'maka', 'Allah', 'menahan', 'tangan', 'mereka', 'dari', 'kamu', 'Dan', 'bertakwalah', 'kepada', 'Allah', 'dan', 'hanya', 'kepada', 'Allah', 'sajalah', 'orang-orang', 'mukmin', 'itu', 'harus', 'bertawakkal']","['O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'O+O', 'O+O', 'O+O']","['IN', 'NN', 'SC', 'NN', 'NN', 'NN', 'MD', 'VB', 'NNP', 'SC', 'VB', 'NN', 'IN', 'NN', 'CD', 'NN', 'VB', 'NEG', 'VB', 'RB', 'VB', 'SC', 'VB', 'VB', 'SC', 'NNP', 'VB', 'NN', 'PRP', 'IN', 'NN', 'NNP', 'VB', 'IN', 'NNP', 'CC', 'RB', 'IN', 'NNP', 'VB', 'NN', 'NN', 'PR', 'MD', 'JJ']",680
6,147,"['Maka', 'jika', 'mereka', 'mendustakan', 'kamu', 'katakanlah', 'Tuhanmu', 'mempunyai', 'rahmat', 'yang', 'luas', 'dan', 'siksa-Nya', 'tidak', 'dapat', 'ditolak', 'dari', 'kaum', 'yang', 'berdosa']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['SC', 'SC', 'PRP', 'VB', 'NN', 'NN', 'NNP', 'VB', 'NN', 'SC', 'JJ', 'CC', 'NN', 'NEG', 'MD', 'VB', 'IN', 'NN', 'SC', 'VB']",936
