juz,no_ayat,word_list,pos_list,level_2,level_2,joint_tag
2,9,hanya,RB,O,O,O+O
2,9,menipu,VB,O,O,O+O
2,9,dirinya,RB,O,O,O+O
2,9,sendiri,PRP,O,O,O+O
2,9,sedang,MD,O,O,O+O
2,9,mereka,PRP,O,O,O+O
2,9,tidak,NEG,O,O,O+O
2,9,sadar,VB,O,O,O+O
2,10,Dalam,IN,O,O,O+O
2,10,hati,NN,O,O,O+O
2,10,mereka,PRP,O,O,O+O
2,10,ada,VB,O,O,O+O
2,10,penyakit,NN,O,O,O+O
2,10,lalu,CC,O,O,O+O
2,10,ditambah,VB,O,O,O+O
2,10,Allah,NNP,O,O,O+O
2,10,penyakitnya,RB,O,O,O+O
2,10,dan,CC,O,O,O+O
2,10,bagi,IN,O,O,O+O
2,10,mereka,PRP,O,O,O+O
2,10,siksa,VB,O,O,O+O
2,10,yang,SC,O,O,O+O
2,10,pedih,VB,O,O,O+O
2,10,disebabkan,VB,O,O,O+O
2,10,mereka,PRP,O,O,O+O
2,10,berdusta,JJ,O,O,O+O
2,11,Dan,CC,O,O,O+O
2,11,bila,SC,O,O,O+O
2,11,dikatakan,VB,O,O,O+O
2,11,kepada,IN,O,O,O+O
2,11,mereka,PRP,O,O,O+O
2,11,Janganlah,NN,O,O,O+O
2,11,kamu,NN,O,O,O+O
2,11,membuat,VB,O,O,O+O
2,11,kerusakan,NN,O,O,O+O
2,11,di,IN,O,O,O+O
2,11,muka,NN,O,O,O+O
2,11,bumi,NN,O,O,O+O
2,11,Mereka,PRP,O,O,O+O
2,11,menjawab,VB,O,O,O+O
2,11,Sesungguhnya,RB,O,O,O+O
2,11,kami,PRP,O,O,O+O
2,11,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,11,yang,SC,I-PER,I-PER,I-PER+I-PER
2,11,mengadakan,VB,I-PER,I-PER,I-PER+I-PER
2,11,perbaikan,NN,I-PER,I-PER,I-PER+I-PER
2,12,Ingatlah,NN,O,O,O+O
2,12,sesungguhnya,RB,O,O,O+O
2,12,mereka,PRP,O,O,O+O
2,12,itulah,VB,O,O,O+O
2,12,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,12,yang,SC,I-PER,I-PER,I-PER+I-PER
2,12,membuat,VB,I-PER,I-PER,I-PER+I-PER
2,12,kerusakan,NN,I-PER,I-PER,I-PER+I-PER
2,12,tetapi,CC,O,I-PER,O+I-PER
2,12,mereka,PRP,O,I-PER,O+I-PER
2,12,tidak,NEG,O,I-PER,O+I-PER
2,12,sadar,VB,O,I-PER,O+I-PER
2,13,Apabila,SC,O,O,O+O
2,13,dikatakan,VB,O,O,O+O
2,13,kepada,IN,O,O,O+O
2,13,mereka,PRP,O,O,O+O
2,13,Berimanlah,NN,O,O,O+O
2,13,kamu,NN,O,O,O+O
2,13,sebagaimana,SC,O,O,O+O
2,13,orang-orang,NN,O,O,O+O
2,13,lain,JJ,O,O,O+O
2,13,telah,MD,O,O,O+O
2,13,beriman,VB,O,O,O+O
2,13,Mereka,PRP,O,O,O+O
2,13,menjawab,VB,O,O,O+O
2,13,Akan,NN,O,O,O+O
2,13,berimankah,NN,O,O,O+O
2,13,kami,PRP,O,O,O+O
2,13,sebagaimana,SC,O,O,O+O
2,13,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,13,yang,SC,I-PER,I-PER,I-PER+I-PER
2,13,bodoh,NN,I-PER,I-PER,I-PER+I-PER
2,13,itu,PR,O,O,O+O
2,13,telah,MD,O,O,O+O
2,13,beriman,VB,O,O,O+O
2,13,Ingatlah,NNP,O,O,O+O
2,13,sesungguhnya,RB,O,O,O+O
2,13,merekalah,VB,O,O,O+O
2,13,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,13,yang,SC,I-PER,I-PER,I-PER+I-PER
2,13,bodoh,JJ,I-PER,I-PER,I-PER+I-PER
2,13,tetapi,CC,O,O,O+O
2,13,mereka,PRP,O,O,O+O
2,13,tidak,NEG,O,O,O+O
2,13,tahu,VB,O,O,O+O
2,14,Dan,CC,O,O,O+O
2,14,bila,SC,O,O,O+O
2,14,mereka,PRP,O,O,O+O
2,14,berjumpa,NN,O,O,O+O
2,14,dengan,IN,O,O,O+O
2,14,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,14,yang,SC,I-PER,I-PER,I-PER+I-PER
2,14,beriman,NN,I-PER,I-PER,I-PER+I-PER
2,14,mereka,PRP,O,O,O+O
2,14,mengatakan,VB,O,O,O+O
2,14,Kami,PRP,O,O,O+O
2,14,telah,MD,O,O,O+O
2,14,beriman,VB,O,O,O+O
2,14,Dan,NNP,O,O,O+O
2,14,bila,SC,O,O,O+O
2,14,mereka,PRP,O,O,O+O
2,14,kembali,VB,O,O,O+O
2,14,kepada,IN,O,O,O+O
2,14,syaitan-syaitan,NN,O,O,O+O
2,14,mereka,PRP,O,O,O+O
2,14,mereka,PRP,O,O,O+O
2,14,mengatakan,VB,O,O,O+O
2,14,Sesungguhnya,RB,O,O,O+O
2,14,kami,PRP,O,O,O+O
2,14,sependirian,NN,O,O,O+O
2,14,dengan,IN,O,O,O+O
2,14,kamu,NN,O,O,O+O
2,14,kami,PRP,O,O,O+O
2,14,hanyalah,MD,O,O,O+O
2,14,berolok-olok,VB,O,O,O+O
2,15,Allah,NNP,O,O,O+O
2,15,akan,MD,O,O,O+O
2,15,membalas,VB,O,O,O+O
2,15,olok-olokan,VB,O,O,O+O
2,15,mereka,PRP,O,O,O+O
2,15,dan,CC,O,O,O+O
2,15,membiarkan,VB,O,O,O+O
2,15,mereka,PRP,O,O,O+O
2,15,terombang-ambing,VB,O,O,O+O
2,15,dalam,IN,O,O,O+O
2,15,kesesatan,NN,O,O,O+O
2,15,mereka,PRP,O,O,O+O
2,16,Mereka,PRP,O,O,O+O
2,16,itulah,VB,O,O,O+O
2,16,orang,NN,B-PER,B-PER,B-PER+B-PER
2,16,yang,SC,I-PER,I-PER,I-PER+I-PER
2,16,membeli,VB,I-PER,I-PER,I-PER+I-PER
2,16,kesesatan,NN,I-PER,I-PER,I-PER+I-PER
2,16,dengan,SC,I-PER,I-PER,I-PER+I-PER
2,16,petunjuk,VB,I-PER,I-PER,I-PER+I-PER
2,16,maka,SC,O,O,O+O
2,16,tidaklah,MD,O,O,O+O
2,16,beruntung,VB,O,O,O+O
2,16,perniagaan,NN,O,O,O+O
2,16,mereka,PRP,O,O,O+O
2,16,dan,CC,O,O,O+O
2,16,tidaklah,NN,O,O,O+O
2,16,mereka,PRP,O,O,O+O
2,16,mendapat,VB,O,O,O+O
2,16,petunjuk,VB,O,O,O+O
2,17,Perumpamaan,NN,O,O,O+O
2,17,mereka,PRP,O,O,O+O
2,17,adalah,VB,O,O,O+O
2,17,seperti,IN,O,O,O+O
2,17,orang,NN,B-PER,B-PER,B-PER+B-PER
2,17,yang,SC,I-PER,I-PER,I-PER+I-PER
2,17,menyalakan,VB,I-PER,I-PER,I-PER+I-PER
2,17,api,NN,I-PER,I-PER,I-PER+I-PER
2,17,maka,SC,O,O,O+O
2,17,setelah,SC,O,O,O+O
2,17,api,NN,O,O,O+O
2,17,itu,PR,O,O,O+O
2,17,menerangi,VB,O,O,O+O
2,17,sekelilingnya,NN,O,O,O+O
2,17,Allah,NNP,O,O,O+O
2,17,hilangkan,VB,O,O,O+O
2,17,cahaya,NN,O,O,O+O
2,17,yang,SC,O,O,O+O
2,17,menyinari,VB,O,O,O+O
2,17,mereka,PRP,O,O,O+O
2,17,dan,CC,O,O,O+O
2,17,membiarkan,VB,O,O,O+O
2,17,mereka,PRP,O,O,O+O
2,17,dalam,IN,O,O,O+O
2,17,kegelapan,NN,O,O,O+O
2,17,tidak,NEG,O,O,O+O
2,17,dapat,MD,O,O,O+O
2,17,melihat,VB,O,O,O+O
2,18,Mereka,PRP,O,O,O+O
2,18,tuli,VB,O,O,O+O
2,18,bisu,NN,O,O,O+O
2,18,dan,CC,O,O,O+O
2,18,buta,NN,O,O,O+O
2,18,maka,SC,O,O,O+O
2,18,tidaklah,VB,O,O,O+O
2,18,mereka,PRP,O,O,O+O
2,18,akan,MD,O,O,O+O
2,18,kembali,VB,O,O,O+O
2,18,ke,IN,O,O,O+O
2,18,jalan,NN,O,O,O+O
2,18,yang,SC,O,O,O+O
2,18,benar,JJ,O,O,O+O
2,19,atau,CC,O,O,O+O
2,19,seperti,IN,O,O,O+O
2,19,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,19,yang,SC,I-PER,I-PER,I-PER+I-PER
2,19,ditimpa,NN,I-PER,I-PER,I-PER+I-PER
2,19,hujan,NN,I-PER,I-PER,I-PER+I-PER
2,19,lebat,NN,I-PER,I-PER,I-PER+I-PER
2,19,dari,IN,I-PER,I-PER,I-PER+I-PER
2,19,langit,NN,I-PER,I-PER,I-PER+I-PER
2,19,disertai,NN,O,I-PER,O+I-PER
2,19,gelap,JJ,O,I-PER,O+I-PER
2,19,gulita,PRP,O,I-PER,O+I-PER
2,19,guruh,VB,O,I-PER,O+I-PER
2,19,dan,CC,O,I-PER,O+I-PER
2,19,kilat,NN,O,I-PER,O+I-PER
2,19,mereka,PRP,O,O,O+O
2,19,menyumbat,VB,O,O,O+O
2,19,telinganya,RB,O,O,O+O
2,19,dengan,IN,O,O,O+O
2,19,anak,NN,O,O,O+O
2,19,jarinya,NN,O,O,O+O
2,19,karena,SC,O,O,O+O
2,19,mendengar,VB,O,O,O+O
2,19,suara,NN,O,O,O+O
2,19,petir,NN,O,O,O+O
2,19,sebab,SC,O,O,O+O
2,19,takut,VB,O,O,O+O
2,19,akan,MD,O,O,O+O
2,19,mati,VB,O,O,O+O
2,19,Dan,NNP,O,O,O+O
2,19,Allah,NNP,O,O,O+O
2,19,meliputi,VB,O,O,O+O
2,19,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,19,yang,SC,I-PER,I-PER,I-PER+I-PER
2,19,kafir,VB,I-PER,I-PER,I-PER+I-PER
2,20,Hampir-hampir,NN,O,O,O+O
2,20,kilat,NN,O,O,O+O
2,20,itu,PR,O,O,O+O
2,20,menyambar,VB,O,O,O+O
2,20,penglihatan,NN,O,O,O+O
2,20,mereka,PRP,O,O,O+O
2,20,Setiap,CD,O,O,O+O
2,20,kali,NND,O,O,O+O
2,20,kilat,NN,O,O,O+O
2,20,itu,PR,O,O,O+O
2,20,menyinari,VB,O,O,O+O
2,20,mereka,PRP,O,O,O+O
2,20,mereka,PRP,O,O,O+O
2,20,berjalan,VB,O,O,O+O
2,20,di,IN,O,O,O+O
2,20,bawah,NN,O,O,O+O
2,20,sinar,NN,O,O,O+O
2,20,itu,PR,O,O,O+O
2,20,dan,CC,O,O,O+O
2,20,bila,SC,O,O,O+O
2,20,gelap,VB,O,O,O+O
2,20,menimpa,NN,O,O,O+O
2,20,mereka,PRP,O,O,O+O
2,20,mereka,PRP,O,O,O+O
2,20,berhenti,VB,O,O,O+O
2,20,Jikalau,NNP,O,O,O+O
2,20,Allah,NNP,O,O,O+O
2,20,menghendaki,VB,O,O,O+O
2,20,niscaya,NN,O,O,O+O
2,20,Dia,PRP,O,O,O+O
2,20,melenyapkan,VB,O,O,O+O
2,20,pendengaran,NN,O,O,O+O
2,20,dan,CC,O,O,O+O
2,20,penglihatan,NN,O,O,O+O
2,20,mereka,PRP,O,O,O+O
2,20,Sesungguhnya,NNP,O,O,O+O
2,20,Allah,NNP,O,O,O+O
2,20,berkuasa,VB,O,O,O+O
2,20,atas,IN,O,O,O+O
2,20,segala,CD,O,O,O+O
2,20,sesuatu,CD,O,O,O+O
2,21,Hai,NNP,O,O,O+O
2,21,manusia,NNP,O,O,O+O
2,21,sembahlah,NNP,O,O,O+O
2,21,Tuhanmu,NNP,O,O,O+O
2,21,yang,SC,O,O,O+O
2,21,telah,MD,O,O,O+O
2,21,menciptakanmu,VB,O,O,O+O
2,21,dan,CC,O,O,O+O
2,21,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,21,yang,SC,I-PER,I-PER,I-PER+I-PER
2,21,sebelummu,VB,I-PER,I-PER,I-PER+I-PER
2,21,agar,SC,O,O,O+O
2,21,kamu,VB,O,O,O+O
2,21,bertakwa,NN,O,O,O+O
2,22,Dialah,NN,O,O,O+O
2,22,yang,SC,O,O,O+O
2,22,menjadikan,VB,O,O,O+O
2,22,bumi,NN,O,O,O+O
2,22,sebagai,IN,O,O,O+O
2,22,hamparan,NN,O,O,O+O
2,22,bagimu,NN,O,O,O+O
2,22,dan,CC,O,O,O+O
2,22,langit,NN,O,O,O+O
2,22,sebagai,IN,O,O,O+O
2,22,atap,NN,O,O,O+O
2,22,dan,CC,O,O,O+O
2,22,Dia,PRP,O,O,O+O
2,22,menurunkan,VB,O,O,O+O
2,22,air,NN,O,O,O+O
2,22,hujan,NN,O,O,O+O
2,22,dari,IN,O,O,O+O
2,22,langit,NN,O,O,O+O
2,22,lalu,CC,O,O,O+O
2,22,Dia,PRP,O,O,O+O
2,22,menghasilkan,VB,O,O,O+O
2,22,dengan,IN,O,O,O+O
2,22,hujan,NN,O,O,O+O
2,22,itu,PR,O,O,O+O
2,22,segala,CD,O,O,O+O
2,22,buah-buahan,NN,O,O,O+O
2,22,sebagai,IN,O,O,O+O
2,22,rezeki,NN,O,O,O+O
2,22,untukmu,NN,O,O,O+O
2,22,karena,SC,O,O,O+O
2,22,itu,PR,O,O,O+O
2,22,janganlah,VB,O,O,O+O
2,22,kamu,NN,O,O,O+O
2,22,mengadakan,VB,O,O,O+O
2,22,sekutu-sekutu,NN,O,O,O+O
2,22,bagi,IN,O,O,O+O
2,22,Allah,NNP,O,O,O+O
2,22,padahal,CC,O,O,O+O
2,22,kamu,NN,O,O,O+O
2,22,mengetahui,VB,O,O,O+O
2,23,Dan,CC,O,O,O+O
2,23,jika,SC,O,O,O+O
2,23,kamu,VB,O,O,O+O
2,23,tetap,RB,O,O,O+O
2,23,dalam,IN,O,O,O+O
2,23,keraguan,NN,O,O,O+O
2,23,tentang,IN,O,O,O+O
2,23,Al,NNP,O,O,O+O
2,23,Quran,NNP,O,O,O+O
2,23,yang,SC,O,O,O+O
2,23,Kami,PRP,O,O,O+O
2,23,wahyukan,VB,O,O,O+O
2,23,kepada,IN,O,O,O+O
2,23,hamba,NN,O,O,O+O
2,23,Kami,NNP,O,O,O+O
2,23,Muhammad,NNP,O,O,O+O
2,23,buatlah,VB,O,O,O+O
2,23,satu,CD,O,O,O+O
2,23,surat,NN,O,O,O+O
2,23,saja,RB,O,O,O+O
2,23,yang,SC,O,O,O+O
2,23,semisal,VB,O,O,O+O
2,23,Al,NNP,O,O,O+O
2,23,Quran,NNP,O,O,O+O
2,23,itu,PR,O,O,O+O
2,23,dan,CC,O,O,O+O
2,23,ajaklah,MD,O,O,O+O
2,23,penolong-penolongmu,VB,O,O,O+O
2,23,selain,IN,O,O,O+O
2,23,Allah,NNP,O,O,O+O
2,23,jika,SC,O,O,O+O
2,23,kamu,VB,O,O,O+O
2,23,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,23,yang,SC,I-PER,I-PER,I-PER+I-PER
2,23,benar,JJ,I-PER,I-PER,I-PER+I-PER
2,24,Maka,SC,O,O,O+O
2,24,jika,SC,O,O,O+O
2,24,kamu,VB,O,O,O+O
2,24,tidak,NEG,O,O,O+O
2,24,dapat,MD,O,O,O+O
2,24,membuatnya,RB,O,O,O+O
2,24,dan,CC,O,O,O+O
2,24,pasti,RB,O,O,O+O
2,24,kamu,VB,O,O,O+O
2,24,tidak,NEG,O,O,O+O
2,24,akan,MD,O,O,O+O
2,24,dapat,MD,O,O,O+O
2,24,membuatnya,RB,O,O,O+O
2,24,peliharalah,MD,O,O,O+O
2,24,dirimu,VB,O,O,O+O
2,24,dari,IN,O,O,O+O
2,24,neraka,NN,O,O,O+O
2,24,yang,SC,O,O,O+O
2,24,bahan,NN,O,O,O+O
2,24,bakarnya,NN,O,O,O+O
2,24,manusia,NN,O,O,O+O
2,24,dan,CC,O,O,O+O
2,24,batu,NN,O,O,O+O
2,24,yang,SC,O,O,O+O
2,24,disediakan,VB,O,O,O+O
2,24,bagi,IN,O,O,O+O
2,24,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,24,kafir,NN,I-PER,I-PER,I-PER+I-PER
2,25,Dan,CC,O,O,O+O
2,25,sampaikanlah,NN,O,O,O+O
2,25,berita,NN,O,O,O+O
2,25,gembira,VB,O,O,O+O
2,25,kepada,IN,O,O,O+O
2,25,mereka,PRP,O,O,O+O
2,25,yang,SC,O,O,O+O
2,25,beriman,NN,O,O,O+O
2,25,dan,CC,O,O,O+O
2,25,berbuat,VB,O,O,O+O
2,25,baik,JJ,O,O,O+O
2,25,bahwa,SC,O,O,O+O
2,25,bagi,IN,O,O,O+O
2,25,mereka,PRP,O,O,O+O
2,25,disediakan,VB,O,O,O+O
2,25,surga-surga,NN,O,O,O+O
2,25,yang,SC,O,O,O+O
2,25,mengalir,VB,O,O,O+O
2,25,sungai-sungai,NN,O,O,O+O
2,25,di,IN,O,O,O+O
2,25,dalamnya,NN,O,O,O+O
2,25,Setiap,CD,O,O,O+O
2,25,mereka,PRP,O,O,O+O
2,25,diberi,VB,O,O,O+O
2,25,rezeki,VB,O,O,O+O
2,25,buah-buahan,NN,O,O,O+O
2,25,dalam,IN,O,O,O+O
2,25,surga-surga,NN,O,O,O+O
2,25,itu,PR,O,O,O+O
2,25,mereka,PRP,O,O,O+O
2,25,mengatakan,VB,O,O,O+O
2,25,Inilah,NNP,O,O,O+O
2,25,yang,SC,O,O,O+O
2,25,pernah,MD,O,O,O+O
2,25,diberikan,VB,O,O,O+O
2,25,kepada,IN,O,O,O+O
2,25,kami,PRP,O,O,O+O
2,25,dahulu,NN,O,O,O+O
2,25,Mereka,PRP,O,O,O+O
2,25,diberi,VB,O,O,O+O
2,25,buah-buahan,NN,O,O,O+O
2,25,yang,SC,O,O,O+O
2,25,serupa,NN,O,O,O+O
2,25,dan,CC,O,O,O+O
2,25,untuk,SC,O,O,O+O
2,25,mereka,PRP,O,O,O+O
2,25,di,IN,O,O,O+O
2,25,dalamnya,RB,O,O,O+O
2,25,ada,VB,O,O,O+O
2,25,isteri-isteri,NN,O,O,O+O
2,25,yang,SC,O,O,O+O
2,25,suci,JJ,O,O,O+O
2,25,dan,CC,O,O,O+O
2,25,mereka,PRP,O,O,O+O
2,25,kekal,VB,O,O,O+O
2,25,di,IN,O,O,O+O
2,25,dalamnya,RB,O,O,O+O
2,26,Sesungguhnya,NNP,O,O,O+O
2,26,Allah,NNP,O,O,O+O
2,26,tiada,IN,O,O,O+O
2,26,segan,NN,O,O,O+O
2,26,membuat,VB,O,O,O+O
2,26,perumpamaan,NN,O,O,O+O
